#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2020 04 04 23 30 999 99.0 99.0  0.44  2.90  2.64  44 9999.0 999.0   8.5 999.0 99.0 99.00
2020 04 05 00 00 999 99.0 99.0  0.37  2.67  2.67  48 9999.0 999.0   8.4 999.0 99.0 99.00
2020 04 05 00 30 999 99.0 99.0  0.39  6.90  2.96 295 9999.0 999.0   8.4 999.0 99.0 99.00
2020 04 05 01 00 999 99.0 99.0  0.36  7.14  2.91 292 9999.0 999.0   8.2 999.0 99.0 99.00
2020 04 05 01 30 999 99.0 99.0  0.33  6.67  3.11 285 9999.0 999.0   8.1 999.0 99.0 99.00
2020 04 05 02 00 999 99.0 99.0  0.30  6.67  3.47 281 9999.0 999.0   8.1 999.0 99.0 99.00
2020 04 05 02 30 999 99.0 99.0  0.30  6.45  3.54 276 9999.0 999.0   8.0 999.0 99.0 99.00
2020 04 05 03 00 999 99.0 99.0  0.28  6.25  3.17 274 9999.0 999.0   8.0 999.0 99.0 99.00
2020 04 05 04 00 999 99.0 99.0  0.25  6.25  4.72 275 9999.0 999.0   8.0 999.0 99.0 99.00
2020 04 05 04 30 999 99.0 99.0  0.26  5.41  4.67 272 9999.0 999.0   8.0 999.0 99.0 99.00
2020 04 05 05 00 999 99.0 99.0  0.24 99.00  4.52 999 9999.0 999.0   8.0 999.0 99.0 99.00
2020 04 05 05 30 999 99.0 99.0  0.23 99.00  4.68 999 9999.0 999.0   8.0 999.0 99.0 99.00
2020 04 05 06 00 999 99.0 99.0  0.22 99.00  4.54 999 9999.0 999.0   8.0 999.0 99.0 99.00
2020 04 05 06 30 999 99.0 99.0  0.23 99.00  4.85 999 9999.0 999.0   7.9 999.0 99.0 99.00
2020 04 05 07 00 999 99.0 99.0  0.24 99.00  5.01 999 9999.0 999.0   7.9 999.0 99.0 99.00
2020 04 05 07 30 999 99.0 99.0  0.24 99.00  5.22 999 9999.0 999.0   8.0 999.0 99.0 99.00
2020 04 05 08 00 999 99.0 99.0  0.22 99.00  5.20 999 9999.0 999.0   8.1 999.0 99.0 99.00
2020 04 05 08 30 999 99.0 99.0  0.22 99.00  4.98 999 9999.0 999.0   8.1 999.0 99.0 99.00
2020 04 05 09 00 999 99.0 99.0  0.19 99.00  5.11 999 9999.0 999.0   8.2 999.0 99.0 99.00
2020 04 05 09 30 999 99.0 99.0  0.17 99.00  4.43 999 9999.0 999.0   8.3 999.0 99.0 99.00
2020 04 05 10 00 999 99.0 99.0  0.17 99.00  4.20 999 9999.0 999.0   8.3 999.0 99.0 99.00
2020 04 05 10 30 999 99.0 99.0  0.19 99.00  3.44 999 9999.0 999.0   8.3 999.0 99.0 99.00
2020 04 05 11 00 999 99.0 99.0  0.23 99.00  3.16 999 9999.0 999.0   8.2 999.0 99.0 99.00
2020 04 05 11 30 999 99.0 99.0  0.27  6.45  3.01 294 9999.0 999.0   8.2 999.0 99.0 99.00
2020 04 05 12 00 999 99.0 99.0  0.29 10.53  3.00 294 9999.0 999.0   8.2 999.0 99.0 99.00
2020 04 05 12 30 999 99.0 99.0  0.29 10.53  3.21 297 9999.0 999.0   8.2 999.0 99.0 99.00
2020 04 05 13 00 999 99.0 99.0  0.31 11.11  3.00 294 9999.0 999.0   8.2 999.0 99.0 99.00
2020 04 05 13 30 999 99.0 99.0  0.34 11.11  3.28 298 9999.0 999.0   8.1 999.0 99.0 99.00
