#YY  MM DD hh WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2004 07 13 16 201  7.6  8.7  1.11  7.14  5.37 281 1012.8  12.4  11.1  12.0 99.0 99.00
2004 07 13 17 204  6.9  8.1  1.23  7.14  5.64 279 1013.6  12.6  11.0  12.3 99.0 99.00
2004 07 13 18 211  6.0  7.1  1.17  6.25  5.39 282 1014.5  12.4  11.4  12.1 99.0 99.00
2004 07 13 19 237  4.9  5.3  1.14  6.25  5.55 283 1015.1  12.2  11.6  11.9 99.0 99.00
2004 07 13 20 242  5.1  5.9  1.12  6.67  5.67 274 1015.2  12.8  11.7  12.4 99.0 99.00
2004 07 13 21 245  4.1  4.6  1.06  7.14  5.75 272 1015.8  12.8  11.8  12.6 99.0 99.00
2004 07 13 22 254  2.5  3.2  1.06  7.14  5.76 263 1016.2  13.4  12.0  13.2 99.0 99.00
2004 07 13 23 264  2.1  2.8  1.16  7.14  5.76 275 1016.1  13.5  12.3  13.2 99.0 99.00
2004 07 14 00 248  2.2  2.7  1.11  7.14  5.93 281 1016.1  12.9  12.0  12.5 99.0 99.00
2004 07 14 01 228  3.3  3.8  1.00  7.14  5.92 284 1016.2  12.9  11.8  12.5 99.0 99.00
2004 07 14 02 228  2.3  2.6  1.08  7.69  6.05 289 1016.2  13.3  11.7  12.9 99.0 99.00
2004 07 14 03 285  1.3  1.7  1.01  7.69  5.93 294 1016.3  12.8  11.9  12.4 99.0 99.00
2004 07 14 04 247  1.6  2.0  0.98  7.14  5.79 289 1016.4  12.4  11.7  11.8 99.0 99.00
2004 07 14 05 266  1.1  1.7  0.99  7.14  5.65 284 1016.3  12.7  11.8  12.2 99.0 99.00
2004 07 14 06 245  1.8  2.3  0.86  6.67  5.57 264 1016.4  12.2  11.9  11.7 99.0 99.00
2004 07 14 07 222  1.5  1.9  0.87  6.67  5.93 284 1016.6  12.0  11.8  11.5 99.0 99.00
2004 07 14 08 280  2.2  2.7  1.06  6.25  6.01 277 1016.4  12.8  12.0  12.2 99.0 99.00
2004 07 14 09 286  2.1  2.5  0.91  6.67  5.89 287 1016.4  12.5  11.9  12.0 99.0 99.00
2004 07 14 10 257  1.4  2.2  0.96  7.69  6.21 280 1016.4  12.5  11.9  11.9 99.0 99.00
2004 07 14 11 258  1.3  1.9  0.89  7.14  6.24 288 1016.2  12.5  11.9  11.9 99.0 99.00
2004 07 14 12 263  0.9  1.1  0.82  7.14  6.31 285 1016.1  12.2  11.6  11.7 99.0 99.00
2004 07 14 13 279  0.9  1.4  0.85  6.25  6.14 286 1016.0  12.0  11.5  11.5 99.0 99.00
2004 07 14 14 283  0.9  1.3  0.80  7.69  6.35 285 1015.9  12.0  11.3  11.5 99.0 99.00
2004 07 14 15 259  0.9  1.4  0.79  8.33  6.21 284 1016.0  11.9  11.3  11.4 99.0 99.00
2004 07 14 16 256  0.4  0.7  0.79  5.56  5.85 281 1016.1  12.1  11.3  11.7 99.0 99.00
