#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2020 04 03 06 50 260  6.3  8.4  1.04  6.25  5.15 289 1020.5   5.2   8.9 999.0 99.0 99.00
2020 04 03 07 20 256  4.9  5.9  1.04  7.14  5.24 280 1020.3   5.7   8.9 999.0 99.0 99.00
2020 04 03 07 50 265  5.1  6.2  1.04  8.33  5.31 297 1020.2   5.9   8.9 999.0 99.0 99.00
2020 04 03 08 20 267  4.0  5.2  1.05  7.69  5.43 296 1020.0   6.2   8.9 999.0 99.0 99.00
2020 04 03 08 50 273  7.1  8.8  1.02  9.09  5.36 289 1019.7   6.7   8.9 999.0 99.0 99.00
2020 04 03 09 20 286  8.6 10.4  1.19  8.33  5.35 301 1019.3   6.8   8.9 999.0 99.0 99.00
2020 04 03 09 50 279 11.7 14.0  1.12  7.69  4.93 284 1019.4   5.3   8.9 999.0 99.0 99.00
2020 04 03 10 20 288  6.5  7.7  1.22  7.14  4.64 286 1019.5   5.8   8.9 999.0 99.0 99.00
2020 04 03 10 50 302  6.6  8.3  1.31  8.33  4.96 282 1019.3   5.8   8.9 999.0 99.0 99.00
2020 04 03 11 20 287  9.1 11.2  1.33  6.25  4.96 275 1018.9   6.7   8.9 999.0 99.0 99.00
2020 04 03 11 50 299  8.5 11.1  1.29  5.88  4.68 278 1018.8   6.4   8.9 999.0 99.0 99.00
2020 04 03 12 20 255  6.9 11.0  1.39  6.25  4.65 277 1018.8   6.0   8.9 999.0 99.0 99.00
2020 04 03 12 50 287  8.1 10.0  1.42  6.25  4.78 268 1018.5   6.4   8.9 999.0 99.0 99.00
2020 04 03 13 20 277  9.7 11.8  1.48  6.67  4.92 286 1018.4   6.2   8.8 999.0 99.0 99.00
2020 04 03 13 50 275  9.2 11.4  1.51  5.88  4.95 287 1018.2   6.1   8.7 999.0 99.0 99.00
2020 04 03 14 20 267  9.0 11.0  1.54  6.25  4.95 277 1017.9   6.3   8.7 999.0 99.0 99.00
2020 04 03 14 50 272  8.5 10.4  1.40  5.88  4.78 280 1017.8   6.6   8.6 999.0 99.0 99.00
2020 04 03 15 20 255  7.3  8.9  1.56  5.88  4.98 284 1017.6   6.5   8.6 999.0 99.0 99.00
2020 04 03 15 50 302  6.5 10.7  1.40  5.88  4.94 279 1017.8   5.6   8.5 999.0 99.0 99.00
2020 04 03 16 20 315  8.5 10.7  1.31  5.56  4.93 284 1017.7   4.9   8.5 999.0 99.0 99.00
2020 04 03 16 50 300 10.7 13.5  1.32  5.88  4.72 279 1017.4   5.4   8.4 999.0 99.0 99.00
2020 04 03 17 20 280  5.2  6.9  1.38  5.56  4.67 277 1017.7   5.5   8.4 999.0 99.0 99.00
2020 04 03 17 50 258  8.2  9.8  1.28  5.56  4.98 275 1017.4   6.6   8.4 999.0 99.0 99.00
2020 04 03 18 20 259  7.5  9.4  1.37  6.25  4.92 285 1017.4   6.7   8.4 999.0 99.0 99.00
2020 04 03 18 50 298  7.2 10.7  1.30  6.25  4.80 278 1017.6   5.6   8.4 999.0 99.0 99.00
2020 04 03 19 20 287  5.4  7.0  1.22  5.56  4.81 280 1017.7   5.3   8.4 999.0 99.0 99.00
2020 04 03 19 50 275  6.6 10.2  1.22  5.88  5.13 292 1017.4   5.8   8.4 999.0 99.0 99.00
